* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 7:00:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 3DSC_15g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
73.608398 23.308 -83.0598
73.974609 26.953 -103.7886
74.34082 28.626 -128.6384
74.707031 29.052 -154.4128
75.073242 28.51 -179.7822
75.439453 27.128 156.6995
75.805664 25.034 137.446
76.171875 22.622 126.0613
76.538086 20.883 123.5237
76.904297 20.227 122.5706
77.270508 19.296 120.9495
77.636719 17.604 133.7183
78.00293 20.172 162.7585
78.369141 25.392 163.8252
78.735352 29.046 147.7981
79.101562 31.065 124.769
79.467773 31.65 96.6223
79.833984 30.946 61.2437
80.200195 29.706 12.5942
80.566406 30.455 -46.9844
80.932617 33.219 -95.6042
81.298828 35.555 -131.0864
81.665039 36.822 -159.7939
82.03125 37.06 175.26
82.397461 36.378 153.1355
82.763672 34.901 133.9299
83.129883 32.85 118.3623
83.496094 30.673 107.0361
83.862305 29.024 98.6802
84.228516 28.299 89.8691
84.594727 28.382 78.7991
84.960938 29.044 66.2466
85.327148 30.076 52.521
85.693359 31.133 36.4888
86.05957 31.742 16.7178
86.425781 31.446 -8.5439
86.791992 29.973 -43.814
87.158203 28.509 -98.9863
87.524414 30.695 -160.9897
87.890625 34.092 156.9268
88.256836 36.216 127.0029
88.623047 36.915 103.0757
88.989258 36.337 84.1387
89.355469 34.833 71.9141
89.72168 33.514 67.1675
90.087891 33.683 59.6919
90.454102 34.851 36.9272
90.820312 36.704 0.3506
91.186523 39.386 -39.4526
91.552734 42.134 -74.8169
91.918945 44.213 -105.4722
92.285156 45.357 -133.0649
92.651367 45.484 -158.7041
93.017578 44.501 177.1602
93.383789 42.2 154.7153
93.75 38.064 135.5117
94.116211 30.703 128.4287
94.482422 24.185 -171.0913
94.848633 28.579 -152.5151
95.214844 27.566 -164.4331
95.581055 17.966 -158.9214
95.947266 25.053 -54.5249
96.313477 31.746 -70.248
96.679688 34.065 -94.0029
97.045898 34.029 -121.1348
97.412109 31.94 -152.7983
97.77832 27.494 164.0166
98.144531 22.725 83.1196
98.510742 25.673 1.5264
98.876953 28.314 -49.1479
99.243164 29.495 -94.7705
99.609375 30.315 -139.8105
99.975586 31.138 178.7417
100.341797 30.976232905674895 142.8662
100.708008 30.560232905674894 111.3877
101.074219 28.911232905674893 81.5977
101.44043 25.468232905674892 48.2139
101.806641 19.833232905674894 -9.5029
102.172852 21.414232905674893 -101.1147
102.539062 26.099232905674892 -146.8921
102.905273 28.233232905674893 -178.9932
103.271484 28.373232905674893 148.748
103.637695 26.812232905674893 108.2974
104.003906 25.120232905674893 47.98
104.370117 27.006232905674892 -17.7012
104.736328 29.596232905674892 -64.333
105.102539 30.341232905674893 -102.9097
105.46875 28.654232905674892 -146.2144
105.834961 25.926232905674894 138.5693
106.201172 30.952232905674894 57.7798
106.567383 36.111232905674896 15.1948
106.933594 39.133232905674895 -16.3262
107.299805 40.57123290567489 -44.3975
107.666016 40.65523290567489 -71.1309
108.032227 39.32423290567489 -97.479
108.398438 36.10723290567489 -124.4409
108.764648 29.071232905674893 -156.0547
109.130859 19.128232905674892 49.2129
109.49707 30.632232905674893 -5.5801
109.863281 33.44223290567489 -34.4502
110.229492 33.15823290567489 -62.127
110.595703 30.131232905674892 -92.0557
110.961914 22.373232905674893 -137.3696
111.328125 20.983232905674893 85.1367
111.694336 27.629232905674893 35.564
112.060547 29.30523290567489 0.8384
112.426758 28.407232905674892 -37.1821
112.792969 26.252232905674894 -88.4219
113.15918 26.07223290567489 -151.8242
113.525391 27.748232905674893 158.9717
113.891602 28.190232905674893 123.9131
114.257812 26.33423290567489 93.9468
114.624023 20.454232905674893 57.4966
114.990234 16.524232905674893 -69.5547
115.356445 26.01123290567489 -118.5552
115.722656 30.435232905674894 -139.9644
116.088867 32.968232905674896 -157.7466
116.455078 34.44823290567489 -175.8447
116.821289 35.07323290567489 163.7349
117.1875 34.82323290567489 139.5605
117.553711 33.62523290567489 110.0264
117.919922 31.487232905674894 72.3833
118.286133 28.858232905674893 22.0469
118.652344 27.304232905674894 -42.7324
119.018555 28.17423290567489 -109.665
119.384766 30.338232905674893 -166.3066
119.750977 32.26223290567489 148.7358
120.117188 32.90223290567489 113.6812
120.483398 31.137232905674892 89.856
120.849609 25.64823290567489 108.1699
121.21582 33.00123290567489 158.9268
121.582031 39.977232905674896 146.9395
121.948242 44.03123290567489 125.5981
122.314453 46.39023290567489 102.1152
122.680664 47.483232905674896 77.7202
123.046875 47.444232905674895 52.5352
123.413086 46.24423290567489 26.1294
123.779297 43.67123290567489 -2.8613
124.145508 39.25423290567489 -39.0664
124.511719 33.273232905674895 -101.4751
124.87793 33.520232905674895 174.2598
125.244141 35.51923290567489 126.9473
125.610352 34.62223290567489 92.52
125.976562 29.833232905674894 56.668
126.342773 19.228232905674894 -57.9146
126.708984 30.476232905674895 -145.2114
127.075195 34.39923290567489 -178.3701
127.441406 35.19323290567489 151.3364
127.807617 33.910232905674896 118.9009
128.173828 30.817232905674892 79.126
128.540039 26.92723290567489 22.2031
128.90625 25.515232905674893 -46.021
129.272461 24.901232905674892 -101.0166
129.638672 21.64523290567489 -157.7871
130.004883 19.899232905674893 105.272
130.371094 25.146232905674893 36.2793
130.737305 27.80523290567489 -6.2197
131.103516 27.904232905674892 -47.686
131.469727 26.590232905674892 -101.1895
131.835938 27.245232905674893 -167.9941
132.202148 29.99423290567489 139.3164
132.568359 31.631232905674892 100.5742
132.93457 31.347232905674893 65.7354
133.300781 28.754232905674893 25.9561
133.666992 24.564232905674892 -41.8984
134.033203 27.326232905674892 -125.4619
134.399414 31.04623290567489 -170.4893
134.765625 32.160232905674896 155.874
135.131836 30.774232905674893 121.7451
135.498047 26.554232905674894 71.6846
135.864258 26.024232905674893 -21.2354
136.230469 31.298232905674894 -76.4307
136.59668 33.97223290567489 -108.791
136.962891 34.371232905674894 -135.9258
137.329102 32.615232905674894 -162.6172
137.695312 27.885232905674894 164.5537
138.061523 20.44723290567489 79.751
138.427734 26.883232905674895 -0.4307
138.793945 30.431232905674893 -25.8164
139.160156 31.417232905674894 -38.2197
139.526367 31.553232905674896 -41.3467
139.892578 32.230232905674896 -41.293
140.258789 33.35123290567489 -48.4014
140.625 33.96123290567489 -66.2461
140.991211 33.81723290567489 -95.0225
141.357422 33.654232905674895 -134.5244
141.723633 34.51223290567489 -177.5498
142.089844 35.855232905674896 146.1201
142.456055 36.49523290567489 117.9658
142.822266 35.80623290567489 96.6211
143.188477 33.35123290567489 84.3018
143.554688 29.413232905674892 95.3232
143.920898 30.444232905674895 130.3975
144.287109 34.316232905674894 134.0635
144.65332 36.322232905674895 121.6182
145.019531 36.581232905674895 103.6279
145.385742 35.24423290567489 82.0322
145.751953 32.12823290567489 54.9268
146.118164 26.99123290567489 11.748
146.484375 24.454232905674893 -65.6738
146.850586 27.123232905674893 -119.9326
147.216797 27.86023290567489 -151.8027
147.583008 25.890232905674893 -178.7002
147.949219 20.007232905674893 150.6543
148.31543 7.715232905674894 35.3096
148.681641 16.94723290567489 -52.8779
149.047852 16.124232905674894 -115.3516
149.414062 22.515232905674893 139.5898
149.780273 30.993232905674894 96.8887
150.146484 36.063232905674894 68.209
150.512695 39.105232905674896 41.9717
150.878906 40.65023290567489 15.3271
151.245117 40.87623290567489 -13.7832
151.611328 39.86323290567489 -48.8486
151.977539 38.24723290567489 -96.79
152.34375 38.59223290567489 -157.1582
152.709961 41.191232905674894 152.8574
153.076172 43.38123290567489 116.3701
153.442383 44.380232905674895 86.3203
153.808594 44.10023290567489 59.1572
154.174805 42.362232905674894 33.3408
154.541016 38.499232905674894 7.9502
154.907227 29.271232905674893 -19.502
155.273438 27.134232905674892 147.416
155.639648 35.66223290567489 119.7559
156.005859 37.956232905674895 95.54
156.37207 37.68323290567489 72.0176
156.738281 35.118232905674894 49.1572
157.104492 28.719232905674893 28.4639
157.470703 14.388232905674894 151.5547
157.836914 29.899232905674893 152.0801
158.203125 33.584232905674895 130.5205
158.569336 34.44523290567489 107.7881
158.935547 33.544232905674896 84.6191
159.301758 31.026232905674892 60.8613
159.667969 26.476232905674895 35.3105
160.03418 18.121232905674894 -0.1504
160.400391 11.292232905674894 -123.8994
160.766602 17.350232905674893 -174.3984
161.132812 17.475232905674893 170.0781
161.499023 15.140232905674893 -178.3027
161.865234 17.701232905674892 -146.9697
162.231445 22.43023290567489 -146.8945
162.597656 25.49423290567489 -161.5498
162.963867 27.223232905674895 178.8936
163.330078 27.974232905674892 157.2842
163.696289 27.92123290567489 134.9473
164.0625 27.118232905674894 113.0781
164.428711 25.55223290567489 93.4658
164.794922 23.280232905674893 79.4717
165.161133 21.01423290567489 76.166
165.527344 20.635232905674894 79.7363
165.893555 21.905232905674893 73.2832
166.259766 22.877232905674894 54.1025
166.625977 22.893232905674893 25.6953
166.992188 22.036232905674893 -11.7305
167.358398 21.013232905674894 -60.1045
167.724609 21.153232905674894 -115.8525
168.09082 22.480232905674892 -168.1289
168.457031 23.80523290567489 145.4658
168.823242 24.652232905674893 101.0801
169.189453 25.189232905674892 55.6221
169.555664 25.835232905674893 8.4443
169.921875 26.893232905674893 -38.3711
170.288086 28.257232905674893 -81.9932
170.654297 29.577232905674894 -121.1924
171.020508 30.526232905674892 -156.1094
171.386719 30.846232905674892 172.835
171.75293 30.248232905674893 145.5898
172.119141 28.249232905674894 123.335
172.485352 23.785232905674892 113.1484
172.851562 18.95023290567489 158.3545
173.217773 25.618232905674894 -171.9873
173.583984 29.651232905674892 179.8135
173.950195 31.141232905674894 167.9893
174.316406 30.791232905674892 161.0439
174.682617 29.561232905674892 168.209
175.048828 30.57223290567489 -171.9287
175.415039 33.630232905674895 -165.4492
175.78125 35.758232905674895 -171.8955
176.147461 36.21123290567489 177.6865
176.513672 34.666232905674896 170.4424
176.879883 31.122232905674892 -176.4629
177.246094 32.770232905674895 -133.7383
177.612305 38.023232905674895 -127.7617
177.978516 41.22923290567489 -139.625
178.344727 42.74123290567489 -156.6074
178.710938 42.90023290567489 -175.3906
179.077148 41.80623290567489 165.5674
179.443359 39.41123290567489 148.0781
179.80957 35.68023290567489 136.4316
180.175781 31.783232905674893 139.9551
180.541992 31.489232905674896 148.4932
180.908203 33.18423290567489 134.8721
181.274414 34.39423290567489 108.0391
181.640625 34.60323290567489 79.0996
182.006836 32.84423290567489 55.1172
182.373047 26.387232905674892 59.041
182.739258 31.63223290567489 134.5254
183.105469 39.64923290567489 125.9492
183.47168 43.96723290567489 106.1211
183.837891 46.36923290567489 84.3584
184.204102 47.383232905674895 62.0312
184.570312 47.151232905674895 39.375
184.936523 45.578232905674895 16.168
185.302734 42.21923290567489 -8.6514
185.668945 35.526232905674895 -41.1025
186.035156 26.98223290567489 -157.8975
186.401367 35.59823290567489 135.4912
186.767578 38.18723290567489 108.9268
187.133789 37.82923290567489 87.6475
187.5 35.045232905674894 69.3057
187.866211 28.716232905674893 56.1367
188.232422 12.660232905674892 124.8037
188.598633 25.394232905674894 -174.2549
188.964844 27.960232905674893 -177.1436
189.331055 27.510232905674894 -173.5342
189.697266 26.768232905674893 -159.1787
190.063477 26.997232905674892 -145.1201
190.429688 26.659232905674894 -136.8291
190.795898 24.878232905674892 -122.8486
191.162109 24.319232905674895 -91.8037
191.52832 26.85423290567489 -72.0908
191.894531 28.252232905674894 -70.6768
192.260742 26.786232905674893 -72.8154
192.626953 20.978232905674894 -48.5732
192.993164 25.85723290567489 22.3506
193.359375 32.44323290567489 22.9238
193.725586 35.65823290567489 9.9795
194.091797 36.82423290567489 -6.7783
194.458008 36.25623290567489 -25.8213
194.824219 33.67423290567489 -47.752
195.19043 27.61923290567489 -78.7139
195.556641 19.862232905674894 166.4189
195.922852 28.560232905674894 98.9932
196.289062 31.228232905674894 68.2529
196.655273 30.600232905674893 36.2217
197.021484 27.586232905674894 -13.46
197.387695 28.282232905674892 -92.0312
197.753906 32.87323290567489 -140.9609
198.120117 35.58823290567489 -170.5098
198.486328 36.422232905674896 165.9453
198.852539 35.53123290567489 144.8311
199.21875 32.53723290567489 124.6094
199.584961 25.269232905674894 101.6025
199.951172 17.94723290567489 -62.3291
200.317383 29.278232905674894 -93.6807
200.683594 32.840232905674895 -108.7314
201.049805 34.12323290567489 -120.5498
201.416016 34.102232905674896 -130.0068
201.782227 33.054232905674894 -136.9912
202.148438 30.970232905674894 -139.9219
202.514648 27.967232905674894 -133.0781
202.880859 26.17723290567489 -109.4844
203.24707 27.820232905674892 -92.8584
203.613281 29.458232905674894 -97.4902
203.979492 29.550232905674893 -116.002
204.345703 28.162232905674895 -148.6318
204.711914 27.08723290567489 158.7432
205.078125 29.114232905674893 103.9268
205.444336 31.673232905674894 65.3965
205.810547 32.977232905674896 35.4678
206.176758 32.91423290567489 7.957
206.542969 31.606232905674894 -21.0732
206.90918 29.478232905674894 -56.5859
207.275391 28.188232905674894 -101.8887
207.641602 29.368232905674894 -143.6943
208.007812 31.43723290567489 -171.4258
208.374023 33.093232905674896 169.5732
208.740234 33.94823290567489 154.3447
209.106445 33.67423290567489 141.7236
209.472656 31.803232905674896 135.4209
209.838867 28.797232905674893 152.2812
210.205078 31.499232905674894 -172.8428
210.571289 36.42423290567489 -172.0986
210.9375 39.54323290567489 173.2217
211.303711 41.12923290567489 152.9961
211.669922 41.444232905674895 129.7402
212.036133 40.54623290567489 103.9756
212.402344 38.32123290567489 75.1201
212.768555 34.441232905674894 40.7578
213.134766 28.404232905674892 -7.7148
213.500977 22.532232905674892 -93.2979
213.867188 22.27023290567489 173.5703
214.233398 24.516232905674894 82.0771
214.599609 30.345232905674894 14.5996
214.96582 34.76823290567489 -28.6035
215.332031 37.240232905674894 -63.2881
215.698242 38.063232905674894 -94.9072
216.064453 37.27423290567489 -125.8301
216.430664 34.46023290567489 -158.6191
216.796875 28.034232905674894 155.8945
217.163086 24.71223290567489 32.8457
217.529297 31.93123290567489 -26.2061
217.895508 34.642232905674895 -58.8525
218.261719 34.77723290567489 -86.333
218.62793 32.58223290567489 -109.8965
218.994141 26.865232905674894 -121.4639
219.360352 22.41523290567489 -58.3262
219.726562 30.106232905674894 -47.4727
220.092773 33.417232905674894 -68.5479
220.458984 34.33523290567489 -95.7676
220.825195 33.57623290567489 -127.3486
221.191406 31.387232905674892 -166.1406
221.557617 28.637232905674892 140.0439
221.923828 28.475232905674893 74.3535
222.290039 30.516232905674894 23.3711
222.65625 31.950232905674895 -13.6016
223.022461 32.328232905674895 -43.9375
223.388672 31.820232905674892 -70.5156
223.754883 30.666232905674892 -94.1172
224.121094 29.185232905674894 -114.7822
224.487305 27.819232905674895 -132.8379
224.853516 26.98823290567489 -149.8496
225.219727 26.77023290567489 -167.9785
225.585938 26.859232905674894 172.0127
225.952148 26.826232905674892 150.9248
226.318359 26.256232905674892 129.957
226.68457 24.657232905674892 110.332
227.050781 21.02323290567489 94.8223
227.416992 11.893232905674893 110.2949
227.783203 18.465232905674892 -164.1768
228.149414 25.516232905674894 -172.0801
228.515625 29.164232905674893 171.2461
228.881836 31.138232905674894 152.9512
229.248047 31.904232905674895 134.4922
229.614258 31.569232905674895 116.7861
229.980469 30.05223290567489 101.2656
230.34668 27.135232905674894 91.5068
230.712891 23.08423290567489 97.9414
231.079102 21.881232905674892 124.9434
231.445312 23.690232905674893 133.1299
231.811523 23.745232905674893 124.335
232.177734 20.195232905674892 111.1875
232.543945 3.0622329056748927 169.334
232.910156 21.992232905674893 -122.7871
233.276367 27.83723290567489 -141.4707
233.642578 30.385232905674894 -163.7432
234.008789 30.99123290567489 171.4883
234.375 29.878232905674892 142.5723
234.741211 26.974232905674892 102.918
235.107422 24.39523290567489 35.7402
235.473633 27.303232905674893 -30.7734
235.839844 30.380232905674895 -70.8428
236.206055 31.703232905674895 -101.7344
236.572266 31.422232905674896 -131.0859
236.938477 29.594232905674893 -164.127
237.304688 26.670232905674894 149.2334
237.670898 26.268232905674893 84.3232
238.037109 29.192232905674892 35.7451
238.40332 31.439232905674892 5.127
238.769531 32.35723290567489 -18.2637
